genre,code
КЛЕЗМЕР,KLEZMER
КЛЕЗЬМЭР,KLEZMER
КОЗАК-РОК,COSSACK ROCK
КОЛГОСПНИЙ РОК,AGRARIAN ROCK
КОМЕДИ-РОК,COMEDY ROCK
КОМЕДИЙНЫЙ ХИП-ХОП,COMEDY HIP HOP
КОММУНА,COMMUNA
КОНКРЕТНАЯ МУЗЫКА,MUSIQUE CONCRÈTE
КОНЦЕПТУАЛЬНАЯ МУЗЫКА,CONCEPTUAL
КРАСТ,CRUST
КРАСТ-ПАНК,CRUST PUNK
КРОССОВЕР,CROSSOVER
КРОССОВЕР-ТРЭШ,CROSSOVER THRASH
ЛЁГКАЯ МУЗЫКА,LIGHT MUSIC
ЛІРИЧНІ,LYRICAL
ЛАТИНА,LATINO
ЛАТИНО,LATINO
ЛАУНДЖ,LOUNGE
ЛАУНЖ,LOUNGE
ЛИРИКА,LYRICAL
ЛОУ-ФАЙ,LO-FI
МАТ-МЕТАЛ,MATH METAL
МАТКОР,MATHCORE
МЕЙНСТРИМ,METAL
МЕЛОДІЙНИЙ ДЕЗ-МЕТАЛ,MELODIC DEATH METAL
МЕЛОДІЙНИЙ МЕТАЛ,MELODIC METAL
МЕЛОДІЙНИЙ МЕТАЛКОР,MELODIC METALCORE
МЕЛОДІЙНИЙ ПАВЕР-СПІД МЕТАЛ,MELODIC POWER SPEED METAL
МЕЛОДІЙНИЙ РОК,MELODIC ROCK
МЕЛОДЕКЛАМАЦИЯ,MELODECLARATION
МЕЛОДИК МЕТАЛ,MELODIC METAL
МЕЛОДИК-БЛЭК-МЕТАЛ,MELODIC BLACK METAL
МЕЛОДИК-ДУМ-МЕТАЛ,MELODIC DOOM METAL
МЕЛОДИК-ДЭТ-МЕТАЛ,MELODIC DEATH METAL
МЕЛОДИК-МЕТАЛ,MELODIC METAL
МЕЛОДИК-ПАУЭР-МЕТАЛ,MELODIC POWER METAL
МЕЛОДИК-ПОСТ-ХАРДКОР,MELODIC POST HARDCORE
МЕЛОДИК-РОК,MELODIC ROCK
МЕЛОДИЧЕСКИЙ ДЭТ-МЕТАЛ,MELODIC DEATH METAL
МЕЛОДИЧЕСКИЙ ХАРД-РОК,MELODIC HARD ROCK
МЕЛОДИЧНИЙ МЕТАЛКОР,MELODIC METALCORE
МЕЛОДИЧНИЙ ХАРДКОР,MELODIC HARD CORE
МЕЛОДИЧНЫЙ БЛЭК-МЕТАЛ,MELODIC BLACK METAL
МЕЛОДИЧНЫЙ ДЭТ-МЕТАЛ,MELODIC DEATH METAL
МЕЛОДИЧНЫЙ МАТ-МЕТАЛ,MELODIC MATH METAL
МЕРСИБИТ,MERSEYBEAT
МЕССИАНСКОЕ ПРОСЛАВЛЕНИЕ,MESSIANIC PRAISE
МЕТАЛ,METAL
МЕТАЛКОР,METALCORE
МЕТАЛЛ,METAL
МИНИМАЛИЗМ,MINIMAL MUSIC
МНИМАЛИЗМ,MINIMAL MUSIC
МОДЕРН МЕТАЛ,MODERN METAL
МОДЕРН-МЕТАЛ,MODERN METAL
МУЗЫКА НАРОДОВ МИРА,WORLD MUSIC
МУЗЫКАЛЬНАЯ ПАРОДИЯ,PARODY
МУЛЬТИ-РОК,MULTI ROCK
МУЛЬТИМЕДИЙНЫЙ СПЕКТАКЛЬ,MULTIMEDIA SHOW
МЭТАЛ,METAL
НАРОДНІ,FOLK SONGS
НАРОДНА,FOLK
НАРОДНА МУЗИКА,FOLK
НАРОДНА ПІСНЯ,FOLK SONGS
НАРОДНАЯ,FOLK
НАРОДНАЯ МУЗЫКА,FOLK
НАРОДНАЯ ПЕСНЯ,FOLK SONGS
НАРОДНЫЕ ПЕСНИ,FOLK SONGS
НАРОДНЫЙ ПСИХОДЕЛИЧЕСКИЙ ПОСТ-ПАНК,FOLK PSYCHODELIC POST PUNK
НАЦІОНАЛ-СОЦІАЛІСТИЧНИЙ БЛЕК-МЕТАЛ,NSBM
НЕИДИОМАТИЧЕСКАЯ ИМПРОВИЗАЦИЯ,UNIDIOMATIC IMPROVISATION
НЕО-ПРОГРЕССИВНЫЙ РОК,NEOPROGRESSIVE ROCK
НЕО-РОКАБІЛІ,NEW ROCKABILLY
НЕО-ФОЛК,NEW FOLK
НЕОКЛАСИЧНИЙ РОК,NEOCLASSIC ROCK
НЕОКЛАССИК-МЕТАЛ,NEOCLASSIC METAL
НЕОКЛАССИК-РОК,NEOCLASSIC ROCK
НЕОКЛАССИКА,NEOCLASSICAL
НЕОКЛАССИЧЕСКАЯ МУЗЫКА,NEOCLASSICAL
НЕОКЛАССИЧЕСКИЙ МЕТАЛ,NEOCLASSIC METAL
НЕОПСИХОДЕЛИЯ,NEOPSYCHODELIC
НЕОФОЛК,NEW FOLK
НЕОФОЛЬК,NEW FOLK
НОВА ХВИЛЯ,NEW WAVE
НОВАЯ ВОЛНА,NEW WAVE
НОВАЯ РОМАНТИКА,NEW ROMANCE
НОЙЗ,NOISE
НОЙЗ-РОК,NOISE ROCK
НОЙЗКОР,NOISECORE
НСБМ,NSBM
НЬЮ-ВЕЙВ,NEW WAVE
НЬЮ-ВЭЙВ,NEW WAVE
НЬЮ-ЕЙДЖ,NEW AGE
НЬЮ-МЕТАЛ,NEW METAL
НЬЮ-РЕЙВ,NEW RAVE
НЬЮ-ЭЙДЖ,NEW AGE
НЭА-ФОЛЬК,NEW FOLK
НЮ МЕТАЛ,NEW METAL
НЮ-ГРАНДЖ,NEW GRUNGE
НЮ-ДЖАЗ,NEW JAZZ
НЮ-МЕТАЛ,NEW METAL
НЮ-МЭТАЛ,NEW METAL
НЮ-СКУЛ-ХАРДКОР,NEW SCHOOL HARDCORE
НЮ-ЭЙДЖ,NEW AGE
ОЙ,OI!
ОЛДСКУЛ ХАРДКОР,HARDCORE
ОЛДСКУЛЬНЫЙ РЭП,RAP
ПАВЕР-МЕТАЛ,POWER METAL
ПАГАН-МЕТАЛ,PAGAN METAL
ПАГАН-ФОЛК-БЛЕК-МЕТАЛ,PAGAN FOLK BLACK METAL
ПАНК,PUNK
ПАНК РОК,PUNK ROCK
ПАНК САЙКОБІЛІ,PUNK PSYCHOBILLY
ПАНК-ДЖАЗ,PUNK JAZZ
ПАНК-РОК,PUNK ROCK
ПАНК-РЭП,PUNK RAP
ПАРОДИИ,PARODY
ПАРОДИЯ,PARODY
ПАРТИЗАН-ПАНК,PARTISAN PUNK
ПАТРІОТИЧНА,PATRIOTIC SONG
ПАТРІОТИЧНА ПІСНЯ,PATRIOTIC SONG
ПАТРИОТИЧЕСКАЯ ПЕСНЯ,PATRIOTIC SONG
ПАУЕР-ФОЛК-МЕТАЛ,POWER FOLK METAL
ПАУЭР МЕТАЛ,POWER METAL
ПАУЭР-МЕТАЛ,POWER METAL
ПАУЭР-ПОП,POWER POP
ПЕЙГАН-МЕТАЛ,PAGAN METAL
ПЕРФОРМАНС,PERFORMANCE
ПИНК-ПАНК,PINK PUNK
ПОЛІРЫТМІЧНЫ SLUDGE DOOM,POLYRHYTHMIC SLUDGE DOOM
ПОП,POP
ПОП ПАНК,POST PUNK
ПОП РОК,POP ROCK
ПОП-АВАНГАРД,POP AVANTGARDE
ПОП-ДИСКО,POP DISCO
ПОП-МУЗИКА,POP
ПОП-МУЗЫКА,POP
ПОП-МЭТАЛ,POST METAL
ПОП-ПАНК,POP PUNK
ПОП-РЕҐІ,POP REGGAE
ПОП-РОК,POP ROCK
ПОП-РЭП,POP RAP
ПОП-ФОЛК,POP FOLK
ПОП-ФОЛК-ДЖАЗ,POP FOLK JAZZ
ПОПУЛЯРНА ПІСНЯ,POP
ПОПУЛЯРНАЯ МУЗЫКА,POP
ПОРНО ГРАЙНД,PORNO GRIND
ПОСТ-БРИТ-ПОП,POST BRITPOP
ПОСТ-ГРАНЖ,POST GRUNGE
ПОСТ-ДИСКО,POST DISCO
ПОСТ-ИНДАСТРИАЛ,POST INDUSTRIAL
ПОСТ-МЕТАЛ,POST METAL
ПОСТ-ПАНК,POST PUNK
ПОСТ-ПРОГ,POST PROGRESSIVE
ПОСТ-РОК,POST ROCK
ПОСТ-ТРЕШ,POST THRASH
ПОСТ-ФОЛК,POST FOLK
ПОСТ-ХАРДКОР,POST HARDCORE
ПОСТПАНК,POST PUNK
ПОСТПАНК-РИВАЙВЛ,POST PUNK REVIVAL
ПОСТРОК,POST ROCK
ПРАСЛАЎЛЕНЬНЕ,MESSIANIC PRAISE
ПРОГ-ДЕТ-МЕТАЛ,PROGRESSIVE DEATH METAL
ПРОГ-РОК,PROGRESSIVE ROCK
ПРОГРЕСИВНИЙ МЕТАЛ,PROGRESSIVE METAL
ПРОГРЕСИВНИЙ РОК,PROGRESSIVE ROCK
ПРОГРЕССИВ-МЕТАЛ,PROGRESSIVE METAL
ПРОГРЕССИВ-РОК,PROGRESSIVE ROCK
ПРОГРЕССИВ-ТРАНС,PROGRESSIVE TRANCE
ПРОГРЕССИВ-ХАУС,PROGRESSIVE HOUSE
ПРОГРЕССИВНИЙ РОК,PROGRESSIVE ROCK
ПРОГРЕССИВНЫЙ МЕТАЛ,PROGRESSIVE METAL
ПРОГРЕССИВНЫЙ МЕТАЛЛ,PROGRESSIVE METAL
ПРОГРЕССИВНЫЙ РОК,PROGRESSIVE ROCK
ПРОГРЕССИВНЫЙ-ДЭТ-МЕТАЛ,PROGRESSIVE DEATH METAL
ПРОТЕСТНЫЙ ПАНК-РОК,PROTEST PUNK ROCK
ПСАЙБИЕНТ,PSYBIENT
ПСИХО-ФОЛК,PSYCHODELIC FOLK
ПСИХОДЕЛІК РОК,PSYCHODELIC ROCK
ПСИХОДЕЛІКА,PSYCHODELIC
ПСИХОДЕЛІЧНИЙ РОК,PSYCHODELIC ROCK
ПСИХОДЕЛІЯ,PSYCHODELIC
ПСИХОДЕЛИК-РОК,PSYCHODELIC ROCK
ПСИХОДЕЛИКА,PSYCHODELIC
ПСИХОДЕЛИЧЕСКАЯ МУЗЫКА,PSYCHODELIC
ПСИХОДЕЛИЧЕСКИЙ РОК,PSYCHODELIC ROCK
ПСИХОДЕЛИЧЕСКИЙ ТРАНС,PSYCHODELIC TRANCE
ПСИХОДЕЛИЧЕСКИЙ ФОЛК,PSYCHODELIC FOLK
ПЭГАН-БЛЭК-МЕТАЛ,PAGAN BLACK METAL
ПЭГАН-МЕТАЛ,PAGAN METAL
ПЭГАН-МЭТАЛ,PAGAN METAL
ПЭГАН-ФОЛК-БЛЭК-МЕТАЛ,PAGAN FOLK BLACK METAL
РАГГА,RAGGA
РАГГАКОР,RAGGA CORE
РАЗГОВОРНЫЙ СТИЛЬ,SPOKEN WORD
РЕВАЙВАЛ,REVIVAL
РЕГІ,REGGAE
РЕГГІ,REGGAE
РЕГГЕЙ,REGGAE
РЕГГИ,REGGAE
РЕЙВ,RAVE
РЕЛАКС,RELAX
РЕП,RAP
РЕП-РОК,RAP ROCK
РЕПКОР,RAPCORE
РЕТРО,RETRO
РЕТРО-ПОП,RETRO POP
РЕТРО-РОК,RETRO ROCK
РЕҐІ,REGGAE
РИТМ ЭНД БЛЮЗ,RHYTM-N-BLUES
РИТМ'Н'БЛЮЗ,RHYTM-N-BLUES
РИТМ-ЕНД-БЛЮЗ,RHYTM-N-BLUES
РИТМ-Н-БЛЮЗ,RHYTM-N-BLUES
РИТМ-ЭНД-БЛЮЗ,RHYTM-N-BLUES
РОК,ROCK
РОК ПРОТИВ КОММУНИЗМА,RAC
РОК-БАЛАДА,ROCK BALLADS
РОК-БАЛЛАДА,ROCK BALLADS
РОК-МУЗИКА,ROCK
РОК-МУЗЫКА,ROCK
РОК-Н-РОЛ,ROCK-N-ROLL
РОК-Н-РОЛЛ,ROCK-N-ROLL
РОК-ОПЕРА,ROCK OPERA
РОК-РОМАНС,ROCK ROMANCE
РОКАБІЛІ,ROCKABILLY
РОКАБИЛЛИ,ROCKABILLY
РОМАНС,ROMANCE
РОМАНТИК-РОК,ROCK ROMANCE
РУМБА,RUMBA
РУССКАЯ НАРОДНАЯ ПЕСНЯ,FOLK SONGS
РУССКИЙ РОК,RUSSIAN ROCK
РУССКИЙ РЭП,RUSSIAN RAP
РУССКИЙ ШАНСОН,CHANSON
РУТС-РЕГГЕЙ,ROOTS REGGAE
РЫТМ-Н-БЛЮЗ,RHYTM-N-BLUES
РЭГГЕЙ,REGGAE
РЭГГИ,REGGAE
РЭП,RAP
РЭП-МЕТАЛ,RAP METAL
РЭП-РОК,RAP ROCK
РЭПКОР,RAPCORE
РЭПТРЭШ,RAP THRASH
СЁРФ-РОК,SURF ROCK
САЙКОБІЛІ,PSYCHOBILLY
САЙКОБИЛИ,PSYCHOBILLY
САЙКОБИЛЛИ,PSYCHOBILLY
САТЕРН-РОК,SOUTHERN ROCK
САТИРИЧЕСКИЙ ПАНК,SATIRIC PUNK
САУНДТРЕКИ,SOUNDTRACKS
СВІТОВА МУЗИКА,WORLD MUSIC
СВИНГ,SWING
СИБИРСКИЙ ПАНК,SIBERIAN PUNK
СИМФО-БЛЭК-МЕТАЛ,SYMPHONIC BLACK METAL
СИМФО-МЕТАЛ,SYMPHONIC METAL
СИМФО-ПАНК,SYMPHONIC PUNK
СИМФО-РОК,SYMPHONIC ROCK
СИМФОНІЧНИЙ МЕТАЛ,SYMPHONIC METAL
СИМФОНІЧНИЙ РОК,SYMPHONIC ROCK
СИМФОНИК-БЛЭК-МЕТАЛ,SYMPHONIC BLACK METAL
СИМФОНИК-МЕТАЛ,SYMPHONIC METAL
СИМФОНИК-РОК,SYMPHONIC ROCK
СИМФОНИЧЕСКИЙ БЛЭК-МЕТАЛ,SYMPHONIC BLACK METAL
СИМФОНИЧЕСКИЙ МЕТАЛ,SYMPHONIC METAL
СИМФОНИЧЕСКИЙ РОК,SYMPHONIC ROCK
СИНТ-РОК,SYNTH ROCK
СИНТІ-ПОП,SYNTH POP
СИНТИ-ПОП,SYNTH POP
СИНТИПОП,SYNTH POP
СИНТКОР,SYNTHCORE
СКА,SKA
СКА-ДЖАЗ,SKA JAZZ
СКА-КОР,SKA CORE
СКА-ПАНК,SKA PUNK
СКА-РОК,SKA ROCK
СКЕЙТ-ПАНК,SKATE PUNK
СКРІМО,SCREAMO
СЛАДЖ-МЕТАЛ,SLUDGE METAL
СОВРЕМЕННЫЙ РИТМ-Н-БЛЮЗ,MODERN RHYTM-N-BLUES
СОВРЕМЕННЫЙ ФОЛК,MODERN FOLK
СОУЛ,SOUL
СОУЛ-ФАНК,SOUL FUNK
СОФТ РОК,SOFT ROCK
СОФТ-РОК,SOFT ROCK
СПІД-МЕТАЛ,SPEED METAL
СПЕЙС РОК,SPACE ROCK
СПЕЙС-РОК,SPACE ROCK
СПИД-МЕТАЛ,SPEED METAL
СРЕДНЕВЕКОВАЯ МУЗЫКА,MEDIEVAL
СТЁБ-ПОП,JIVE POP
СТЁБ-РОК,JIVE ROCK
СТИХОТВОРЕНИЕ,POEM
СТОУНЕР-РОК,STONER ROCK
СТРІТ ПАНК,STREET PUNK
СТРІТ-ПАНК,STREET PUNK
СТРИТ-ПАНК,STREET PUNK
СЫНТ-ГАТЫЧНЫ,SYNTH GOTHIC
СЯРЭДНЕВЯКОВАЯ МУЗЫКА,MEDIEVAL
СЯРЭДНЯВЕЧНАЯ МУЗЫКА,MEDIEVAL
ТАНЦЕВАЛЬНАЯ МУЗЫКА,DANCE
ТАТАРСКИЙ РОК,TATAR ROCK
ТВИ-ПОП,TWEE POP
ТЕХНИЧНЫЙ ДЭТ-МЕТАЛ,TECHNO DEATH METAL
ТЕХНО,TECHNO
ТЕХНО-ПОП,TECHNO POP
ТЕХНО-ТРЭШ-МЕТАЛ,TECHNO THRASH METAL
ТРІП-РОК,TRIP ROCK
ТРІП-ХОП,TRIP HOP
ТРАДИЦІЙНА МУЗИКА ЗАКАРПАТТЯ,TRADITIONAL
ТРАДИЦІЙНА УКРАЇНСЬКА МУЗИКА,TRADITIONAL
ТРАДИЦИОННАЯ МУЗЫКА,TRADITIONAL
ТРАДИЦИОННЫЙ ДЖАЗ,JAZZ
ТРАДЫЦЫЙНАЯ МУЗЫКА,TRADITIONAL
ТРАНС,TRANCE
ТРАНС-КОР,TRANCE CORE
ТРЕШ-МЕТАЛ,THRASH METAL
ТРЕШ-ПОП,THRASH POP
ТРИП-РОК,TRIP ROCK
ТРИП-ХОП,TRIP HOP
ТРЫП-ГОП,TRIP HOP
ТРЭШ-ДЭТ-МЕТАЛ,THRASH DEATH METAL
ТРЭШ-МЕТАЛ,THRASH METAL
ТРЭШ-МЕТАЛЛ,THRASH METAL
ТУВИНСКАЯ НАРОДНАЯ МУЗЫКА,FOLK
ТЯЖЁЛЫЙ РОК,HARD ROCK
УАЙТ-МЕТАЛ,WHITE METAL
УКРАЇНСЬКА ПІСНЯ,UKRAINIAN SONG
УКРАЇНСЬКИЙ БЛЮЗ,UKRAINIAN BLUES
УКРАЇНСЬКИЙ ПОП,UKRAINIAN POP
УКРАЇНСЬКИЙ РОК,UKRAINIAN ROCK
УКУЛЕЛЕ-РОК,UKULELE ROCK
УРБАНІСТЫЧНАЕ РЭГІ,URBANISTIC REGGAE
Ф'ЮЖН,FUSION
ФАНК,FUNK
ФАНК-МЕТАЛ,FUNK METAL
ФАНК-РОК,FUNK ROCK
ФАНКИ-ПАНК,FUNKY PUNK
ФОЛК,FOLK
ФОЛК МЕТАЛ,FOLK METAL
ФОЛК ПАНК-РОК,FOLK PUNK ROCK
ФОЛК РОК,FOLK ROCK
ФОЛК-ДЖАЗ,FOLK JAZZ
ФОЛК-КОР,FOLK CORE
ФОЛК-МЕТАЛ,FOLK METAL
ФОЛК-МОДЕРН,FOLK MODERN
ФОЛК-МУЗЫКА,FOLK
ФОЛК-МЭТАЛ,FOLK METAL
ФОЛК-ПАНК,FOLK PUNK
ФОЛК-РОК,FOLK ROCK
ФОЛКТРОНІКА,FOLKTRONICS
ФОЛЬК,FOLK
ФОЛЬК-МАДЭРН,FOLK MODERN
ФОЛЬК-МЕТАЛ,FOLK METAL
ФОЛЬК-ПАНК,FOLK PUNK
ФОЛЬК-РОК,FOLK ROCK
ФОЛЬКЛОР,FOLK
ФРІ-ФОЛК,FREE FOLK
ФРИ-ДЖАЗ,FREE JAZZ
ФЬЮЖН,FUSION
ФЭНТЕЗИ,FANTASY
ХІП-ХОП,HIP HOP
ХАЛАБУДА-РОК,HALABUDA ROCK
ХАРД РОК,HARD ROCK
ХАРД-Н-ХЕВИ,HARD-N-HEAVRY
ХАРД-Н-ХЭВИ,HARD-N-HEAVRY
ХАРД-РОК,HARD ROCK
ХАРДКОР,HARDCORE
ХАРДКОР ХИП-ХОП,HARDCORE HIP HOP
ХАРДКОР-ПАНК,HARDCORE PUNK
ХАРДКОР-РЭП,HARDCORE RAP
ХАУЗ,HOUSE
ХАУС,HOUSE
ХЕВІ-МЕТАЛ,HEAVY METAL
ХЕВІ-ФОЛК,HEAVY FOLK
ХЕВІ-ФОЛК-МЕТАЛ,HEAVY FOLK METAL
ХЕВИ МЕТАЛ,HEAVY METAL
ХЕВИ-МЕТАЛ,HEAVY METAL
ХЕВИМЕТАЛ,HEAVY METAL
ХЕЙТКОР,HATE CORE
ХЕППІ РОК,HAPPY ROCK
ХИП-ХАУС,HIP HOUSE
ХИП-ХОП,HIP HOP
ХОР,CHORUS
ХОРРОР-МЕТАЛ,HORROR METAL
ХОРРОР-ПАНК,HORROR PUNK
ХРИСТИАНСКИЙ БЛЭК-МЕТАЛ,CHRISTIAN BLACK METAL
ХРИСТИАНСКИЙ МЕТАЛ,CHRISTIAN METAL
ХРИСТИАНСКИЙ РОК,CHRISTIAN ROCK
ХРИСТИЯНСЬКИЙ БЛЕК-МЕТАЛ,CHRISTIAN BLACK METAL
ХРИСТИЯНСЬКИЙ РОК,CHRISTIAN ROCK
ХЭВИ МЕТАЛ,HEAVY METAL
ХЭВИ-МЕТАЛ,HEAVY METAL
ЧЁРНЫЙ ЮМОР,BLACK HUMOUR
ЧИЛАУТ,CHILLOUT
ЧИЛЛАУТ,CHILLOUT
ШАНСОН,CHANSON
ШОК-РОК,SHOCK ROCK
ШОУ,SHOW
ШУГЕЙЗИНГ,SHOEGAZE
ЭЙСИД-ДЖАЗ,ACID JAZZ
ЭЙСИД-ФОЛК,ACID FOLK
ЭКЛЕКТИК ПРОГ,ECLECTIC PROG
ЭКСПЕРИМЕНТАЛЬНАЯ,EXPERIMENTAL
ЭКСПЕРИМЕНТАЛЬНАЯ МУЗЫКА,EXPERIMENTAL
ЭКСПЕРИМЕНТАЛЬНЫЙ,EXPERIMENTAL
ЭКСПЕРИМЕНТАЛЬНЫЙ МЕТАЛ,EXPERIMENTAL METAL
ЭКСПЕРИМЕНТАЛЬНЫЙ РОК,EXPERIMENTAL ROCK
ЭКСПЕРИМЕНТАЛЬНЫЙ ФОЛК,EXPERIMENTAL FOLK
ЭКСЦЕНТРИКА,EXCENTRIC
ЭЛЕКТРО,ELECTRONIC
ЭЛЕКТРО-ИНДАСТРИАЛ,ELECTRO INDUSTRIAL
ЭЛЕКТРО-ПАНК,ELECTRO PUNK
ЭЛЕКТРО-ПОП,ELECTRO POP
ЭЛЕКТРО-ФОЛК,ELECTRO FOLK
ЭЛЕКТРО-ХАУС,ELECTRO HOUSE
ЭЛЕКТРО-ХОП,ELECTRO HOP
ЭЛЕКТРОАКУСТИЧЕСКАЯ МУЗЫКА,ELECTRO ACOUSTIC
ЭЛЕКТРОКЛЭШ,ELECTRO CLASH
ЭЛЕКТРОНИК-РОК,ELECTRO ROCK
ЭЛЕКТРОНИКА,ELECTRONIC
ЭЛЕКТРОННАЯ МУЗЫКА,ELECTRONIC
ЭЛЕКТРОННЫ,ELECTRONIC
ЭЛЕКТРОННЫЙ РОК,ELECTRO ROCK
ЭЛЕКТРОПАНК,ELECTRO PUNK
ЭЛЕКТРОПОП,ELECTRO POP
ЭМБИЕНТ,AMBIENT
ЭМБИЕНТ БЛЭК-МЕТАЛ,AMBIENT BLACK METAL
ЭМО,EMO
ЭМОКОР,EMO CORE
ЭПИК,EPIC
ЭПИК-ПОП,EPIC POP
ЭСТРАДА,ESTRADE
ЭСТРАДНАЯ МУЗЫКА,ESTRADE
ЭСТРАДНАЯ ПЕСНЯ,ESTRADE
ЭСТРАДНЫЙ ФОЛК,ESTRADE FOLK
ЭТЕРЕАЛ,ETHEREAL
ЭТНІЧНАЯ МУЗИКА,ETHNO
ЭТНІЧНАЯ МУЗЫКА,ETHNO
ЭТНА-ФОЛК,ETHNO FOLK
ЭТНИК-ЭМБИЕНТ,ETHNO AMBIENT
ЭТНИЧЕСКАЯ МУЗЫКА,ETHNO
ЭТНИЧЕСКИЙ ДУМ-МЕТАЛ,ETHNO DOOM METAL
ЭТНИЧЕСКИЙ МЕТАЛ,ETHNO METAL
ЭТНО,ETHNO
ЭТНО-ДЖАЗ,ETHNO JAZZ
ЭТНО-КОР,ETHNO CORE
ЭТНО-РОК,ETHNO ROCK
ЭТНО-ФОЛК,ETHNO FOLK
ЭТНО-ФЬЮЖН,ETHNO FUSION
ЭТНО-ЭКСТРИМ,ETHNO EXTREME
ЭТНО-ЭЛЕКТРОНИКА,ETHNO ELECTRONICS
ЭТНО-ЭМБИЕНТ,ETHNO AMBIENT
ЮМОР,HUMOUR
ЯЗЫЧЕСКИЙ БЛЭК-МЕТАЛ,PAGAN BLACK METAL
ЯЗЫЧЕСКИЙ МЕТАЛ,PAGAN METAL
ҐРАЙНД,GRIND
ҐРУВ-МЕТАЛ,GROOVE METAL
